antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
resource,"human, management",0.10024154589371981,0.07447665056360708,0.07085346215780998,0.7068273092369477,9.490589384565288,1.0,0.06338780757232762,3.156922109721394,0.994302928615009,0.6821705426356588,0.6832357703978156,0.8290893302941496
"human, management",resource,0.07447665056360708,0.10024154589371981,0.07085346215780998,0.9513513513513513,9.490589384565288,1.0,0.06338780757232762,18.495034889962405,0.9666233342560006,0.6821705426356588,0.9459314347904951,0.8290893302941496
power,point,0.08454106280193237,0.07608695652173914,0.0607890499194847,0.719047619047619,9.450340136054422,1.0,0.054356577749772456,3.2885040530582166,0.9767600342483705,0.6088709677419355,0.6959103641456582,0.7589947089947089
point,power,0.07608695652173914,0.08454106280193237,0.0607890499194847,0.7989417989417988,9.45034013605442,1.0,0.054356577749772456,4.553203661327228,0.9678223607323725,0.6088709677419355,0.7803744188968462,0.7589947089947089
"office, resource",human,0.05958132045088567,0.08977455716586151,0.05032206119162641,0.8445945945945946,9.40795055144831,1.0,0.04497317453279086,5.857102849541414,0.9503287671232876,0.508130081300813,0.8292671264807489,0.7025663555932615
human,"office, resource",0.08977455716586151,0.05958132045088567,0.05032206119162641,0.5605381165919283,9.40795055144831,1.0,0.04497317453279086,2.1399323014229847,0.9818522777532064,0.508130081300813,0.5326954972664169,0.7025663555932615
human,"management, resource",0.08977455716586151,0.08454106280193237,0.07085346215780998,0.7892376681614349,9.335554131966687,1.0,0.06326382568243522,4.343560489258915,0.9809466848940532,0.6848249027237353,0.7697741282818841,0.8136664531283364
"management, resource",human,0.08454106280193237,0.08977455716586151,0.07085346215780998,0.838095238095238,9.335554131966687,1.0,0.06326382568243522,5.6219806763285,0.9753388102662509,0.6848249027237353,0.8221267454350161,0.8136664531283364
human,resource,0.08977455716586151,0.10024154589371981,0.08333333333333333,0.9282511210762332,9.26014371386893,1.0,0.07433419294110324,12.540383454106284,0.9799883340063712,0.7811320754716979,0.9202576218135854,0.8797882111405262
resource,human,0.10024154589371981,0.08977455716586151,0.08333333333333333,0.8313253012048192,9.260143713868928,1.0,0.07433419294110324,5.396336553945247,0.9913886457218817,0.7811320754716979,0.8146890969450556,0.8797882111405262
